Parameters: numNests = 50 Pa = 0.25 Pc = 0.6 maxGenerations: 20000 stopCriterion = 20000
Dataset: A-n69-k9, Run time: 220.51, Best Solution Cost: 1298.5713694278863, Optimal Value: 1168 routesGen(gen, min) = 9, 9 numNodes(gen, req) = 69, 69
Dataset: A-n69-k9, Run time: 230.74, Best Solution Cost: 1309.0692254566084, Optimal Value: 1168 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 69, 69
Dataset: A-n69-k9, Run time: 231.88, Best Solution Cost: 1290.194042640933, Optimal Value: 1168 routesGen(gen, min) = 10, 9 numNodes(gen, req) = 69, 69


Dataset: A-n80-k10, Run time: 243.35, Best Solution Cost: 2106.0924199175015, Optimal Value: 1764 routesGen(gen, min) = 11, 10 numNodes(gen, req) = 80, 80
Dataset: A-n80-k10, Run time: 236.97, Best Solution Cost: 1991.967516017027, Optimal Value: 1764 routesGen(gen, min) = 10, 10 numNodes(gen, req) = 80, 80
Dataset: A-n80-k10, Run time: 237.04, Best Solution Cost: 2041.1403462423232, Optimal Value: 1764 routesGen(gen, min) = 10, 10 numNodes(gen, req) = 80, 80
Dataset: A-n80-k10, Run time: 236.84, Best Solution Cost: 2079.162338874495, Optimal Value: 1764 routesGen(gen, min) = 10, 10 numNodes(gen, req) = 80, 80
Dataset: A-n80-k10, Run time: 243.03, Best Solution Cost: 2110.418252909388, Optimal Value: 1764 routesGen(gen, min) = 11, 10 numNodes(gen, req) = 80, 80
