,Instance,Optimal Value,Implementation 1,Minimum Solution Cost 1,Average Solution Cost 1,Std Solution Cost 1,Average Runtime 1,Implementation 2,Minimum Solution Cost 2,Average Solution Cost 2,Std Solution Cost 2,Average Runtime 2,P-value
69,P-n60-k15,784,"2-opt, shift-1, swap-2-2",1067.394598,1102.098553,29.57646143,4.515666667,"swap-2-1, shift-1, swap-2-2",1041.313487,1087.248738,30.69153248,4.122666667,0.07190333
70,P-n65-k10,784,"2-opt, shift-1, swap-2-2",894.4728902,945.1526829,33.98140805,3.674666667,"swap-2-1, shift-1, swap-2-2",892.286238,935.0328924,22.85594798,3.369666667,0.477947439
71,P-n70-k10,784,"2-opt, shift-1, swap-2-2",934.9943502,984.2036355,28.96246851,3.911,"swap-2-1, shift-1, swap-2-2",939.5775905,984.3572339,24.12198525,3.573,0.942610512
72,P-n76-k4,784,"2-opt, shift-1, swap-2-2",792.9476575,964.2099,87.45789893,3.022,"swap-2-1, shift-1, swap-2-2",822.680647,903.7675514,36.99937581,2.660333333,0.003609433
73,P-n76-k5,784,"2-opt, shift-1, swap-2-2",801.6401856,932.9157796,106.5827012,3.210333333,"swap-2-1, shift-1, swap-2-2",819.776004,929.224767,51.76994557,2.885666667,0.78126371
74,A-n32-k5,784,"2-opt, shift-1, swap-2-2",850.8833099,899.5590941,32.06256322,2.356666667,"swap-1-1, shift-1, swap-2-2",800.3463932,880.2665668,37.18287782,2.174333333,0.068713631
75,A-n33-k5,784,"2-opt, shift-1, swap-2-2",680.4052703,744.4200508,33.26483759,2.376666667,"swap-1-1, shift-1, swap-2-2",678.9107431,741.0557896,36.62271609,2.184333333,0.673279807
76,A-n33-k6,784,"2-opt, shift-1, swap-2-2",774.7728485,833.3645565,38.56699662,2.523333333,"swap-1-1, shift-1, swap-2-2",754.0075476,818.6695176,32.73084504,2.265666667,0.068713631
77,A-n34-k5,784,"2-opt, shift-1, swap-2-2",806.1775899,870.4239751,37.58660752,2.398,"swap-1-1, shift-1, swap-2-2",808.8861959,850.873801,27.3979742,2.190333333,0.008216736
78,A-n36-k5,784,"2-opt, shift-1, swap-2-2",873.9810925,920.4828571,29.17028714,2.480666667,"swap-1-1, shift-1, swap-2-2",852.6542392,906.2543063,39.38295574,2.200333333,0.07864666
79,A-n37-k5,784,"2-opt, shift-1, swap-2-2",713.532525,779.6820561,28.65116688,2.506,"swap-1-1, shift-1, swap-2-2",729.0092773,798.9391644,38.77552425,2.249666667,0.035008957
80,A-n37-k6,784,"2-opt, shift-1, swap-2-2",1020.38356,1103.086469,44.67628285,2.656,"swap-1-1, shift-1, swap-2-2",981.897365,1077.91938,41.94934823,2.358,0.027029157
81,A-n38-k5,784,"2-opt, shift-1, swap-2-2",792.0055232,890.6520717,90.13621203,2.634333333,"swap-1-1, shift-1, swap-2-2",789.3296917,878.7253904,47.95395852,2.324,0.734325291
82,A-n39-k5,784,"2-opt, shift-1, swap-2-2",887.7911,989.9539432,59.89102692,2.5,"swap-1-1, shift-1, swap-2-2",904.2331294,977.0748923,43.09419421,2.232333333,0.503832969
83,A-n39-k6,784,"2-opt, shift-1, swap-2-2",867.6092262,954.8935459,37.57627468,2.556,"swap-1-1, shift-1, swap-2-2",897.2703081,947.4721646,36.27067431,2.397333333,0.517047891
84,A-n44-k6,784,"2-opt, shift-1, swap-2-2",1052.615185,1165.925498,68.58939556,2.690666667,"swap-1-1, shift-1, swap-2-2",1019.502577,1095.673163,33.6325673,2.545666667,0.000174228
85,A-n45-k6,784,"2-opt, shift-1, swap-2-2",1035.125433,1104.694553,39.65590969,2.906333333,"swap-1-1, shift-1, swap-2-2",1067.727123,1126.236964,41.5206064,2.710333333,0.228880422
86,A-n45-k7,784,"2-opt, shift-1, swap-2-2",1223.094031,1298.412546,39.88332513,2.829666667,"swap-1-1, shift-1, swap-2-2",1204.851798,1272.084162,37.21405286,2.616333333,0.030009891
87,A-n46-k7,784,"2-opt, shift-1, swap-2-2",966.0767558,1061.176975,49.34477964,2.870333333,"swap-1-1, shift-1, swap-2-2",997.1307658,1035.665393,22.10336479,2.656333333,0.028485956
