,fileName,Name,Best Solution Cost,Optimal Value,Run Time
116,results00_crossTwoOpt_levy6.csv,B-n57-k7,1513.9412264281464,1153,4.13
117,results00_crossTwoOpt_levy6.csv,B-n57-k9,1832.4636929442013,1598,4.1
118,results00_crossTwoOpt_levy6.csv,B-n63-k10,2283.956187923046,1537,4.23
119,results00_crossTwoOpt_levy6.csv,B-n64-k9,1313.5621999846996,861,4.33
120,results00_crossTwoOpt_levy6.csv,B-n66-k9,2263.6275462367607,1374,4.4
121,results00_crossTwoOpt_levy6.csv,B-n67-k10,1439.5018591431256,1033,5.77
122,results00_crossTwoOpt_levy6.csv,B-n68-k9,1734.0963403063888,1304,4.9
123,results00_crossTwoOpt_levy6.csv,B-n78-k10,1942.8435583653352,1266,6.2
124,results00_crossTwoOpt_levy6.csv,P-n101-k4,1301.8105493353673,681,4.77
125,results00_crossTwoOpt_levy6.csv,P-n16-k8,462.80037947324564,435,7.88
126,results00_crossTwoOpt_levy6.csv,P-n19-k2,286.24207646354773,212,2.72
127,results00_crossTwoOpt_levy6.csv, P-n20-k2,358.6774408901608,220,2.56
128,results00_crossTwoOpt_levy6.csv,P-n21-k2,308.7441253980403,211,4.51
129,results00_crossTwoOpt_levy6.csv,P-n22-k2,315.18858968370324,216,5.07
130,results00_crossTwoOpt_levy6.csv,P-n22-k8,673.7386537942288,603,5.42
131,results00_crossTwoOpt_levy6.csv,P-n23-k8,609.1490752871001,554,5.84
132,results00_crossTwoOpt_levy6.csv,P-n40-k5.vrp,724.7844708738479,458,3.29
133,results00_crossTwoOpt_levy6.csv,P-n45-k5,834.1824979664001,510,3.3
134,results00_crossTwoOpt_levy6.csv,P-n50-k10,959.3795081797048,696,4.19
135,results00_crossTwoOpt_levy6.csv, P-n50-k7,858.2337834310089,554,4.04
136,results00_crossTwoOpt_levy6.csv,P-n50-k8,893.6503106305454,649,3.88
137,results00_crossTwoOpt_levy6.csv,P-n51-k10,1023.6752382087784,745,4.4
138,results00_crossTwoOpt_levy6.csv,P-n55-k10,1016.6251920218007,669,4.02
139,results00_crossTwoOpt_levy6.csv,P-n55-k15,1227.1962196720335,856,5.53
140,results00_crossTwoOpt_levy6.csv,P-n55-k7,907.3798607254864,524,3.8
141,results00_crossTwoOpt_levy6.csv,P-n55-k8,915.8939933004131,576,3.71
142,results00_crossTwoOpt_levy6.csv,P-n60-k10,1019.6906424919003,706,4.42
143,results00_crossTwoOpt_levy6.csv,P-n60-k15,1276.429783602301,905,5.21
144,results00_crossTwoOpt_levy6.csv,P-n65-k10,1103.7452307041638,792,4.45
145,results00_crossTwoOpt_levy6.csv,P-n70-k10,1170.688538711494,834,4.78
146,results00_crossTwoOpt_levy6.csv,P-n76-k4,1364.1479208622918,589,15.5
147,results00_crossTwoOpt_levy6.csv,P-n76-k5,1252.1002163260264,631,12.62
148,results00_swap21_exchange_5050_levy6.csv,A-n32-k5,828.501831237014,784,3.47
149,results00_swap21_exchange_5050_levy6.csv,A-n33-k5,767.5863565569575,661,2.12
150,results00_swap21_exchange_5050_levy6.csv,A-n33-k6,869.0320945906187,742,2.42
151,results00_swap21_exchange_5050_levy6.csv,A-n34-k5,953.1674904635383,778,2.14
152,results00_swap21_exchange_5050_levy6.csv,A-n36-k5,914.8453291776214,799,2.56
153,results00_swap21_exchange_5050_levy6.csv,A-n37-k5,868.0994299678995,669,2.58
154,results00_swap21_exchange_5050_levy6.csv,A-n37-k6,1134.6440474115766,949,2.48
155,results00_swap21_exchange_5050_levy6.csv,A-n38-k5,889.130009793346,730,2.49
156,results00_swap21_exchange_5050_levy6.csv,A-n39-k5,971.5543589704297,822,2.52
157,results00_swap21_exchange_5050_levy6.csv,A-n39-k6,1056.967239082503,831,2.6
158,results00_swap21_exchange_5050_levy6.csv,A-n44-k6,1160.356693100878,937,2.66
159,results00_swap21_exchange_5050_levy6.csv,A-n45-k6,1103.4939611503974,944,2.97
160,results00_swap21_exchange_5050_levy6.csv,A-n45-k7,1274.3547119991524,1146,2.92
161,results00_swap21_exchange_5050_levy6.csv,A-n46-k7,1152.0817611767054,914,2.96
